Body,Head,Head Coverage,Standard Confidence,Pca Confidence,Support,Body Size,Pca Body Size,Functional Variable
?a  hasBiomarker  ALK_Negative  ?a  hasStage  IV   ,?a  hasSmokingHabit  FormerSmoker,0.068966,0.666667,0.666667,22,33,33,?a
?a  hasBiomarker  ALK_Negative  ?a  treatmentType  Surgery   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  hasBiomarker  ALK_Negative  ?a  treatmentType  Open_Surgical_Procedure   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  hasBiomarker  ALK_Negative  ?a  treatmentType  Thoracoscopy   ,?a  hasSmokingHabit  FormerSmoker,0.034483,0.333333,0.333333,11,33,33,?a
?a  hasBiomarker  ROS1_Negative  ?a  patientDrug  Cisplatin   ,?a  hasSmokingHabit  FormerSmoker,0.068966,0.4,0.4,22,55,55,?a
?a  patientDrug  Alectinib  ?a  patientDrug  Cisplatin   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  patientDrug  Cisplatin  ?a  patientDrug  Placebo%20Controlled%20Study   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  patientDrug  Brigatinib  ?a  patientDrug  Pembrolizumab   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  patientDrug  Cisplatin  ?a  patientDrug  Daratumumab   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  patientDrug  Alectinib  ?a  patientDrug  Pembrolizumab   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  hasStage  IIIB  ?a  patientDrug  Cisplatin   ,?a  hasSmokingHabit  FormerSmoker,0.034483,0.5,0.5,11,22,22,?a
?a  patientDrug  Cisplatin  ?a  treatmentType  Surgery   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  hasAgeCategory  Young  ?a  patientDrug  Other   ,?a  hasSmokingHabit  FormerSmoker,0.068966,0.666667,0.666667,22,33,33,?a
?a  hasAgeCategory  Young  ?a  patientDrug  Paclitaxel   ,?a  hasSmokingHabit  FormerSmoker,0.068966,0.5,0.5,22,44,44,?a
?a  hasAgeCategory  Young  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasSmokingHabit  FormerSmoker,0.068966,1,1,22,22,22,?a
?a  patientDrug  Pembrolizumab  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasSmokingHabit  FormerSmoker,0.034483,0.5,0.5,11,22,22,?a
?a  hasBiomarker  ALK_Negative  ?a  hasBiomarker  PDL1_Negative   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  hasBiomarker  ALK_Negative  ?a  patientDrug  Osimertinib   ,?a  hasSmokingHabit  FormerSmoker,0.034483,0.333333,0.333333,11,33,33,?a
?a  patientDrug  Other  ?a  patientDrug  Paclitaxel   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  patientDrug  Docetaxel  ?a  patientDrug  Paclitaxel   ,?a  hasSmokingHabit  FormerSmoker,0.034483,0.5,0.5,11,22,22,?a
?a  hasStage  IVB  ?a  patientDrug  Paclitaxel   ,?a  hasSmokingHabit  FormerSmoker,0.034483,0.5,0.5,11,22,22,?a
?a  hasStage  IIIB  ?a  patientDrug  Paclitaxel   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  patientDrug  Paclitaxel  ?a  treatmentType  Open_Surgical_Procedure   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  hasBiomarker  EGFR_Positive  ?a  treatmentType  Immunotherapy   ,?a  hasSmokingHabit  FormerSmoker,0.241379,0.538462,0.538462,77,143,143,?a
?a  hasStage  IV  ?a  patientDrug  Pemetrexed   ,?a  hasSmokingHabit  FormerSmoker,0.137931,0.8,0.8,44,55,55,?a
?a  patientDrug  Pemetrexed  ?a  treatmentType  Immunotherapy   ,?a  hasSmokingHabit  FormerSmoker,0.241379,0.4375,0.4375,77,176,176,?a
?a  hasBiomarker  EGFR_Positive  ?a  hasRelapse_Progression  Progression   ,?a  hasSmokingHabit  FormerSmoker,0.241379,0.538462,0.538462,77,143,143,?a
?a  patientDrug  Cisplatin  ?a  patientDrug  Lorlatinib   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  patientDrug  Other  ?a  patientDrug  Pembrolizumab   ,?a  hasSmokingHabit  FormerSmoker,0.034483,0.5,0.5,11,22,22,?a
?a  patientDrug  Afatinib  ?a  patientDrug  Pembrolizumab   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  patientDrug  Paclitaxel  ?a  patientDrug  Pembrolizumab   ,?a  hasSmokingHabit  FormerSmoker,0.068966,0.4,0.4,22,55,55,?a
?a  hasBiomarker  ROS1_Negative  ?a  patientDrug  Pembrolizumab   ,?a  hasAgeCategory  Young,0.206897,0.75,0.75,66,88,88,?a
?a  patientDrug  Pembrolizumab  ?a  patientDrug  Placebo%20Controlled%20Study   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  hasBiomarker  ROS1_Negative  ?a  hasStage  IVA   ,?a  hasAgeCategory  Young,0.103448,0.6,0.6,33,55,55,?a
?a  hasBiomarker  ROS1_Negative  ?a  hasSmokingHabit  FormerSmoker   ,?a  hasAgeCategory  Young,0.103448,0.6,0.6,33,55,55,?a
?a  hasBiomarker  ROS1_Negative  ?a  hasSmokingHabit  CurrentSmoker   ,?a  hasAgeCategory  Young,0.206897,0.6,0.6,66,110,110,?a
?a  hasBiomarker  ROS1_Negative  ?a  hasGender  Female   ,?a  hasAgeCategory  Young,0.275862,0.727273,0.727273,88,121,121,?a
?a  patientDrug  Pembrolizumab  ?a  treatmentType  Open_Surgical_Procedure   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  hasBiomarker  ROS1_Negative  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasAgeCategory  Young,0.172414,0.625,0.625,55,88,88,?a
?a  hasAgeCategory  Young  ?a  treatmentType  Open_Surgical_Procedure   ,?a  hasSmokingHabit  FormerSmoker,0.068966,1,1,22,22,22,?a
?a  hasBiomarker  ROS1_Negative  ?a  hasStage  IV   ,?a  hasSmokingHabit  FormerSmoker,0.068966,1,1,22,22,22,?a
?a  hasStage  IV  ?a  patientDrug  Lorlatinib   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  hasStage  IV  ?a  patientDrug  Brigatinib   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  hasStage  IV  ?a  patientDrug  Emibetuzumab   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  hasStage  IV  ?a  patientDrug  Alectinib   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  hasStage  IV  ?a  patientDrug  Docetaxel   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  hasStage  IV  ?a  patientDrug  Placebo%20Controlled%20Study   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  hasStage  IV  ?a  patientDrug  Nintedanib   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  hasStage  IV  ?a  patientDrug  Daratumumab   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  hasStage  IV  ?a  patientDrug  Vinorelbine   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  patientDrug  Paclitaxel  ?a  patientDrug  Pemetrexed   ,?a  hasSmokingHabit  FormerSmoker,0.068966,0.5,0.5,22,44,44,?a
?a  hasBiomarker  ALK_Negative  ?a  patientDrug  Other   ,?a  hasSmokingHabit  FormerSmoker,0.034483,0.333333,0.333333,11,33,33,?a
?a  hasBiomarker  PDL1_Negative  ?a  hasBiomarker  ROS1_Negative   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  patientDrug  Pemetrexed  ?a  patientDrug  Vinorelbine   ,?a  hasSmokingHabit  FormerSmoker,0.068966,0.5,0.5,22,44,44,?a
?a  hasBiomarker  ROS1_Negative  ?a  patientDrug  Brigatinib   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  hasBiomarker  ROS1_Negative  ?a  patientDrug  Osimertinib   ,?a  hasSmokingHabit  FormerSmoker,0.034483,0.5,0.5,11,22,22,?a
?a  hasBiomarker  ROS1_Negative  ?a  patientDrug  Alectinib   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  hasBiomarker  PDL1_Positive  ?a  hasBiomarker  ROS1_Negative   ,?a  hasAgeCategory  Young,0.310345,0.75,0.75,99,132,132,?a
?a  hasBiomarker  BRAF_Negative  ?a  hasBiomarker  ROS1_Negative   ,?a  hasAgeCategory  Young,0.068966,0.666667,0.666667,22,33,33,?a
?a  hasBiomarker  ROS1_Negative  ?a  treatmentType  Surgery   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  hasBiomarker  ROS1_Negative  ?a  treatmentType  Thoracoscopy   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  patientDrug  Lorlatinib  ?a  patientDrug  Pembrolizumab   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  patientDrug  Daratumumab  ?a  patientDrug  Docetaxel   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  hasStage  IIIA  ?a  patientDrug  Docetaxel   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  hasBiomarker  ROS1_Negative  ?a  patientDrug  Other   ,?a  hasAgeCategory  Young,0.068966,0.666667,0.666667,22,33,33,?a
?a  hasBiomarker  ROS1_Negative  ?a  patientDrug  Osimertinib   ,?a  hasAgeCategory  Young,0.068966,1,1,22,22,22,?a
?a  patientDrug  Docetaxel  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  patientDrug  Docetaxel  ?a  treatmentType  Open_Surgical_Procedure   ,?a  hasSmokingHabit  FormerSmoker,0.068966,1,1,22,22,22,?a
?a  hasBiomarker  ROS1_Negative  ?a  patientDrug  Docetaxel   ,?a  hasAgeCategory  Young,0.172414,1,1,55,55,55,?a
?a  hasRelapse_Progression  Progression  ?a  treatmentType  Immunotherapy   ,?a  hasSmokingHabit  FormerSmoker,0.344828,0.416667,0.416667,110,264,264,?a
?a  treatmentType  Concurrent_Chemoradiotherapy  ?a  treatmentType  Immunotherapy   ,?a  hasSmokingHabit  FormerSmoker,0.068966,0.4,0.4,22,55,55,?a
?a  treatmentType  Immunotherapy  ?a  treatmentType  Open_Surgical_Procedure   ,?a  hasSmokingHabit  FormerSmoker,0.068966,1,1,22,22,22,?a
?a  hasStage  IIIB  ?a  patientDrug  Pembrolizumab   ,?a  hasSmokingHabit  FormerSmoker,0.034483,0.5,0.5,11,22,22,?a
?a  patientDrug  Other  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasSmokingHabit  FormerSmoker,0.068966,0.5,0.5,22,44,44,?a
?a  treatmentType  Concurrent_Chemoradiotherapy  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasSmokingHabit  FormerSmoker,0.068966,0.4,0.4,22,55,55,?a
?a  hasBiomarker  ROS1_Negative  ?a  hasRelapse_Progression  Progression   ,?a  hasAgeCategory  Young,0.275862,0.615385,0.615385,88,143,143,?a
?a  hasStage  IV  ?a  patientDrug  Erlotinib   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  hasRelapse_Progression  Progression  ?a  treatmentType  Open_Surgical_Procedure   ,?a  hasSmokingHabit  FormerSmoker,0.068966,1,1,22,22,22,?a
?a  hasBiomarker  BRAF_Negative  ?a  hasBiomarker  ROS1_Negative   ,?a  hasSmokingHabit  FormerSmoker,0.034483,0.333333,0.333333,11,33,33,?a
?a  hasBiomarker  PDL1_Positive  ?a  patientDrug  Docetaxel   ,?a  hasAgeCategory  Young,0.172414,1,1,55,55,55,?a
?a  hasBiomarker  ROS1_Negative  ?a  patientDrug  Lorlatinib   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  patientDrug  Pemetrexed  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasSmokingHabit  FormerSmoker,0.068966,0.666667,0.666667,22,33,33,?a
?a  patientDrug  Docetaxel  ?a  patientDrug  Other   ,?a  hasAgeCategory  Young,0.103448,1,1,33,33,33,?a
?a  hasBiomarker  ROS1_Negative  ?a  patientDrug  Other   ,?a  hasSmokingHabit  FormerSmoker,0.034483,0.333333,0.333333,11,33,33,?a
?a  hasBiomarker  EGFR_Negative  ?a  hasBiomarker  ROS1_Negative   ,?a  hasAgeCategory  Young,0.206897,0.666667,0.666667,66,99,99,?a
?a  hasBiomarker  ROS1_Negative  ?a  patientDrug  Placebo%20Controlled%20Study   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  hasGender  Female  ?a  patientDrug  Docetaxel   ,?a  hasAgeCategory  Young,0.172414,1,1,55,55,55,?a
?a  patientDrug  Docetaxel  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasAgeCategory  Young,0.103448,1,1,33,33,33,?a
?a  patientDrug  Docetaxel  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasAgeCategory  Young,0.068966,1,1,22,22,22,?a
?a  patientDrug  Docetaxel  ?a  treatmentType  Open_Surgical_Procedure   ,?a  hasAgeCategory  Young,0.068966,1,1,22,22,22,?a
?a  hasBiomarker  EGFR_Positive  ?a  hasBiomarker  PDL1_Positive   ,?a  hasAgeCategory  Young,0.137931,0.8,0.8,44,55,55,?a
?a  patientDrug  Docetaxel  ?a  patientDrug  Other   ,?a  hasSmokingHabit  FormerSmoker,0.068966,0.666667,0.666667,22,33,33,?a
?a  hasBiomarker  EGFR_Positive  ?a  patientDrug  Osimertinib   ,?a  hasAgeCategory  Young,0.103448,1,1,33,33,33,?a
?a  hasBiomarker  EGFR_Positive  ?a  patientDrug  Afatinib   ,?a  hasAgeCategory  Young,0.068966,1,1,22,22,22,?a
?a  hasBiomarker  EGFR_Positive  ?a  patientDrug  Pembrolizumab   ,?a  hasAgeCategory  Young,0.103448,1,1,33,33,33,?a
?a  patientDrug  Docetaxel  ?a  treatmentType  Chemotherapy_Adjuvant   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  hasBiomarker  EGFR_Positive  ?a  hasSmokingHabit  CurrentSmoker   ,?a  hasAgeCategory  Young,0.137931,0.666667,0.666667,44,66,66,?a
?a  hasBiomarker  EGFR_Positive  ?a  hasGender  Female   ,?a  hasAgeCategory  Young,0.241379,0.7,0.7,77,110,110,?a
?a  hasBiomarker  ROS1_Negative  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasAgeCategory  Young,0.206897,1,1,66,66,66,?a
?a  hasBiomarker  EGFR_Positive  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasAgeCategory  Young,0.172414,0.625,0.625,55,88,88,?a
?a  hasBiomarker  EGFR_Positive  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasAgeCategory  Young,0.068966,0.666667,0.666667,22,33,33,?a
?a  treatmentType  Intravenous_Chemotherapy  ?a  treatmentType  Open_Surgical_Procedure   ,?a  hasSmokingHabit  FormerSmoker,0.068966,1,1,22,22,22,?a
?a  hasBiomarker  EGFR_Negative  ?a  patientDrug  Other   ,?a  hasAgeCategory  Young,0.068966,0.666667,0.666667,22,33,33,?a
?a  hasRelapse_Progression  Progression  ?a  patientDrug  Other   ,?a  hasSmokingHabit  FormerSmoker,0.068966,0.5,0.5,22,44,44,?a
?a  hasBiomarker  EGFR_Negative  ?a  patientDrug  Atezolizumab   ,?a  hasAgeCategory  Young,0.068966,1,1,22,22,22,?a
?a  hasStage  IV  ?a  treatmentType  Surgery   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  hasBiomarker  EGFR_Negative  ?a  hasSmokingHabit  FormerSmoker   ,?a  hasAgeCategory  Young,0.068966,1,1,22,22,22,?a
?a  patientDrug  Docetaxel  ?a  patientDrug  Pemetrexed   ,?a  hasAgeCategory  Young,0.172414,0.833333,0.833333,55,66,66,?a
?a  patientDrug  Carboplatin  ?a  patientDrug  Docetaxel   ,?a  hasAgeCategory  Young,0.137931,0.8,0.8,44,55,55,?a
?a  patientDrug  Atezolizumab  ?a  patientDrug  Docetaxel   ,?a  hasAgeCategory  Young,0.103448,1,1,33,33,33,?a
?a  hasStage  IVB  ?a  patientDrug  Docetaxel   ,?a  hasAgeCategory  Young,0.137931,1,1,44,44,44,?a
?a  hasSmokingHabit  CurrentSmoker  ?a  patientDrug  Docetaxel   ,?a  hasAgeCategory  Young,0.137931,0.8,0.8,44,55,55,?a
?a  hasBiomarker  ROS1_Negative  ?a  treatmentType  Open_Surgical_Procedure   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  hasBiomarker  PDL1_Positive  ?a  patientDrug  Other   ,?a  hasAgeCategory  Young,0.068966,0.666667,0.666667,22,33,33,?a
?a  hasBiomarker  PDL1_Positive  ?a  patientDrug  Cisplatin   ,?a  hasAgeCategory  Young,0.068966,0.666667,0.666667,22,33,33,?a
?a  hasBiomarker  BRAF_Negative  ?a  hasBiomarker  EGFR_Positive   ,?a  hasAgeCategory  Young,0.034483,1,1,11,11,11,?a
?a  hasBiomarker  PDL1_Positive  ?a  patientDrug  Atezolizumab   ,?a  hasAgeCategory  Young,0.068966,1,1,22,22,22,?a
?a  hasBiomarker  PDL1_Positive  ?a  hasStage  IVB   ,?a  hasAgeCategory  Young,0.206897,0.857143,0.857143,66,77,77,?a
?a  patientDrug  Docetaxel  ?a  patientDrug  Nintedanib   ,?a  hasSmokingHabit  FormerSmoker,0.034483,0.5,0.5,11,22,22,?a
?a  hasBiomarker  EGFR_Positive  ?a  hasStage  IVA   ,?a  hasAgeCategory  Young,0.068966,0.666667,0.666667,22,33,33,?a
?a  hasBiomarker  PDL1_Positive  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasAgeCategory  Young,0.172414,1,1,55,55,55,?a
?a  patientDrug  Other  ?a  treatmentType  Immunotherapy   ,?a  hasSmokingHabit  FormerSmoker,0.068966,0.5,0.5,22,44,44,?a
?a  hasBiomarker  EGFR_Positive  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasAgeCategory  Young,0.103448,1,1,33,33,33,?a
?a  hasBiomarker  PDL1_Positive  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasAgeCategory  Young,0.172414,0.714286,0.714286,55,77,77,?a
?a  hasGender  Male  ?a  patientDrug  Afatinib   ,?a  hasSmokingHabit  FormerSmoker,0.034483,0.5,0.5,11,22,22,?a
?a  hasGender  Male  ?a  treatmentType  Thoracoscopy   ,?a  hasSmokingHabit  FormerSmoker,0.034483,0.5,0.5,11,22,22,?a
?a  hasBiomarker  EGFR_Negative  ?a  patientDrug  Cisplatin   ,?a  hasAgeCategory  Young,0.137931,0.666667,0.666667,44,66,66,?a
?a  hasBiomarker  ALK_Negative  ?a  patientDrug  Other   ,?a  hasAgeCategory  Young,0.068966,0.666667,0.666667,22,33,33,?a
?a  hasBiomarker  ALK_Negative  ?a  patientDrug  Afatinib   ,?a  hasAgeCategory  Young,0.068966,1,1,22,22,22,?a
?a  hasRelapse_Progression  Progression  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasSmokingHabit  FormerSmoker,0.068966,0.666667,0.666667,22,33,33,?a
?a  hasBiomarker  EGFR_Negative  ?a  hasRelapse_Progression  Progression   ,?a  hasAgeCategory  Young,0.241379,0.636364,0.636364,77,121,121,?a
?a  hasBiomarker  ALK_Negative  ?a  hasSmokingHabit  CurrentSmoker   ,?a  hasAgeCategory  Young,0.241379,0.538462,0.538462,77,143,143,?a
?a  hasBiomarker  EGFR_Negative  ?a  hasStage  IVB   ,?a  hasAgeCategory  Young,0.137931,0.8,0.8,44,55,55,?a
?a  hasBiomarker  EGFR_Negative  ?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasAgeCategory  Young,0.068966,1,1,22,22,22,?a
?a  hasBiomarker  BRAF_Negative  ?a  hasBiomarker  PDL1_Positive   ,?a  hasAgeCategory  Young,0.068966,0.666667,0.666667,22,33,33,?a
?a  hasBiomarker  ALK_Negative  ?a  hasBiomarker  PDL1_Positive   ,?a  hasAgeCategory  Young,0.310345,0.692308,0.692308,99,143,143,?a
?a  patientDrug  Pembrolizumab  ?a  patientDrug  Pemetrexed   ,?a  hasAgeCategory  Young,0.172414,0.625,0.625,55,88,88,?a
?a  hasBiomarker  PDL1_Positive  ?a  hasSmokingHabit  FormerSmoker   ,?a  hasAgeCategory  Young,0.068966,0.666667,0.666667,22,33,33,?a
?a  hasBiomarker  PDL1_Positive  ?a  hasGender  Female   ,?a  hasAgeCategory  Young,0.241379,0.7,0.7,77,110,110,?a
?a  hasBiomarker  EGFR_Positive  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasAgeCategory  Young,0.137931,0.666667,0.666667,44,66,66,?a
?a  hasBiomarker  PDL1_Negative  ?a  hasGender  Male   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  hasGender  Male  ?a  patientDrug  Nintedanib   ,?a  hasSmokingHabit  FormerSmoker,0.034483,0.5,0.5,11,22,22,?a
?a  hasGender  Male  ?a  patientDrug  Daratumumab   ,?a  hasSmokingHabit  FormerSmoker,0.034483,1,1,11,11,11,?a
?a  patientDrug  Pemetrexed  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasAgeCategory  Young,0.275862,0.533333,0.533333,88,165,165,?a
?a  patientDrug  Cisplatin  ?a  patientDrug  Gemcitabine   ,?a  hasAgeCategory  Young,0.068966,1,1,22,22,22,?a
?a  patientDrug  Atezolizumab  ?a  patientDrug  Cisplatin   ,?a  hasAgeCategory  Young,0.068966,0.666667,0.666667,22,33,33,?a
?a  hasBiomarker  ALK_Negative  ?a  patientDrug  Osimertinib   ,?a  hasAgeCategory  Young,0.103448,1,1,33,33,33,?a
?a  hasStage  IVB  ?a  patientDrug  Cisplatin   ,?a  hasAgeCategory  Young,0.103448,1,1,33,33,33,?a
?a  hasStage  IIIB  ?a  patientDrug  Cisplatin   ,?a  hasAgeCategory  Young,0.068966,1,1,22,22,22,?a
?a  hasSmokingHabit  CurrentSmoker  ?a  patientDrug  Cisplatin   ,?a  hasAgeCategory  Young,0.137931,0.666667,0.666667,44,66,66,?a
?a  hasBiomarker  ALK_Negative  ?a  hasStage  IVA   ,?a  hasAgeCategory  Young,0.103448,0.6,0.6,33,55,55,?a
?a  patientDrug  Cisplatin  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasAgeCategory  Young,0.068966,0.666667,0.666667,22,33,33,?a
?a  patientDrug  Carboplatin  ?a  patientDrug  Other   ,?a  hasAgeCategory  Young,0.068966,0.666667,0.666667,22,33,33,?a
?a  hasBiomarker  ALK_Negative  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasAgeCategory  Young,0.206897,0.6,0.6,66,110,110,?a
?a  patientDrug  Other  ?a  patientDrug  Pemetrexed   ,?a  hasAgeCategory  Young,0.068966,0.666667,0.666667,22,33,33,?a
?a  patientDrug  Carboplatin  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasAgeCategory  Young,0.103448,0.5,0.5,33,66,66,?a
?a  patientDrug  Carboplatin  ?a  treatmentType  Open_Surgical_Procedure   ,?a  hasAgeCategory  Young,0.068966,1,1,22,22,22,?a
?a  hasRelapse_Progression  Progression  ?a  patientDrug  Other   ,?a  hasAgeCategory  Young,0.103448,0.75,0.75,33,44,44,?a
?a  hasBiomarker  PDL1_Positive  ?a  patientDrug  Osimertinib   ,?a  hasAgeCategory  Young,0.068966,1,1,22,22,22,?a
?a  hasBiomarker  PDL1_Positive  ?a  patientDrug  Paclitaxel   ,?a  hasAgeCategory  Young,0.068966,0.666667,0.666667,22,33,33,?a
?a  hasGender  Female  ?a  hasRelapse_Progression  Progression   ,?a  hasAgeCategory  Young,0.310345,0.692308,0.692308,99,143,143,?a
?a  hasSmokingHabit  CurrentSmoker  ?a  patientDrug  Pemetrexed   ,?a  hasAgeCategory  Young,0.206897,0.666667,0.666667,66,99,99,?a
?a  patientDrug  Pemetrexed  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasAgeCategory  Young,0.137931,0.8,0.8,44,55,55,?a
?a  patientDrug  Pemetrexed  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasAgeCategory  Young,0.172414,1,1,55,55,55,?a
?a  hasBiomarker  PDL1_Positive  ?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasAgeCategory  Young,0.068966,1,1,22,22,22,?a
?a  patientDrug  Pembrolizumab  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasAgeCategory  Young,0.241379,0.636364,0.636364,77,121,121,?a
?a  patientDrug  Pemetrexed  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasAgeCategory  Young,0.068966,0.666667,0.666667,22,33,33,?a
?a  treatmentType  Intravenous_Chemotherapy  ?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasAgeCategory  Young,0.103448,1,1,33,33,33,?a
?a  hasGender  Female  ?a  patientDrug  Cisplatin   ,?a  hasAgeCategory  Young,0.103448,0.75,0.75,33,44,44,?a
?a  patientDrug  Cisplatin  ?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasAgeCategory  Young,0.103448,1,1,33,33,33,?a
?a  patientDrug  Carboplatin  ?a  patientDrug  Pembrolizumab   ,?a  hasAgeCategory  Young,0.172414,0.625,0.625,55,88,88,?a
?a  hasStage  IVA  ?a  patientDrug  Carboplatin   ,?a  hasAgeCategory  Young,0.068966,0.666667,0.666667,22,33,33,?a
?a  patientDrug  Other  ?a  patientDrug  Paclitaxel   ,?a  hasAgeCategory  Young,0.034483,1,1,11,11,11,?a
?a  patientDrug  Afatinib  ?a  patientDrug  Paclitaxel   ,?a  hasAgeCategory  Young,0.034483,1,1,11,11,11,?a
?a  hasRelapse_Progression  Progression  ?a  hasSmokingHabit  CurrentSmoker   ,?a  hasAgeCategory  Young,0.275862,0.615385,0.615385,88,143,143,?a
?a  hasRelapse_Progression  Progression  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasAgeCategory  Young,0.413793,0.571429,0.571429,132,231,231,?a
?a  patientDrug  Other  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasAgeCategory  Young,0.103448,0.75,0.75,33,44,44,?a
?a  patientDrug  Paclitaxel  ?a  treatmentType  Open_Surgical_Procedure   ,?a  hasAgeCategory  Young,0.034483,1,1,11,11,11,?a
?a  hasStage  IIIB  ?a  patientDrug  Pembrolizumab   ,?a  hasAgeCategory  Young,0.068966,1,1,22,22,22,?a
?a  hasGender  Female  ?a  patientDrug  Pembrolizumab   ,?a  hasAgeCategory  Young,0.206897,0.75,0.75,66,88,88,?a
?a  hasSmokingHabit  FormerSmoker  ?a  patientDrug  Pembrolizumab   ,?a  hasAgeCategory  Young,0.103448,0.75,0.75,33,44,44,?a
